t,R,I,p,V,Parameters,goal,safe,unsafe,measurement,value
0.0,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,9.999999974752427e-07
0.0,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.0005487537709996104
0.0,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,-0.0034488700330257416
0.0,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.573952850885689e-05
0.05,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.00043193736928515136
0.05,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,2.8437689252314158e-05
0.05,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.0001714435056783259
0.05,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.0005205704364925623
0.05,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,-0.002847878262400627
0.05,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.544516509165987e-05
0.1,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.0008628983050584793
0.1,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,5.446621071314439e-05
0.1,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.00031383743043988943
0.1,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.0004937906633131206
0.1,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,-0.0022764496970921755
0.1,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.515756831504405e-05
0.15000000000000002,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.0012938788859173656
0.15000000000000002,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,7.915574678918347e-05
0.15000000000000002,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.0004276599211152643
0.15000000000000002,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.00046831771032884717
0.15000000000000002,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,-0.0017329900292679667
0.15000000000000002,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.487287464551628e-05
0.2,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.0017248750664293766
0.2,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.00010257163376081735
0.2,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.000514309445861727
0.2,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.00044413539581000805
0.2,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,-0.0012164469808340073
0.2,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.459857831941918e-05
0.25,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.002155883237719536
